K,UL,beta,burn_factor,crossing_time,delta,mu1,mu2,num_crossings,rep,s,seed1,seed2,seed3,seed4,sigma
464,1.0,0.01,0.25,7275,1.0e-5,1.0e-5,0.0001,50,47,0.1,2761488411,2034539208,3869815206,3034778111,5.0e-8
215,1.0,0.01,0.25,18593,1.0e-5,1.0e-5,0.0001,50,6,0.1,3954091294,1627248138,1332308276,1103951206,5.0e-8
464,1.0,0.01,0.25,32486,1.0e-5,1.0e-5,0.0001,50,28,0.1,3962529213,186967190,2762295781,1139145474,0.5
215,1.0,0.01,0.25,19345,1.0e-5,1.0e-5,0.0001,50,44,0.1,2175569863,2911651911,3514652782,348354881,5.0e-8
215,1.0,0.01,0.25,24344,1.0e-5,1.0e-5,0.0001,50,35,0.1,2892300252,2394604942,2953546942,2810522983,0.05
464,1.0,0.01,0.25,4987,1.0e-5,1.0e-5,0.0001,50,46,0.1,4233341801,3803168992,2644925369,1789023495,5.0e-8
100,1.0,0.01,0.25,92702,1.0e-5,1.0e-5,0.0001,50,13,0.1,318233305,1333166545,2572582897,2469781407,0.5
100,1.0,0.01,0.25,37254,1.0e-5,1.0e-5,0.0001,50,36,0.1,2809227407,2155878948,3044051080,3863339240,0.05
1000,1.0,0.01,0.25,808,1.0e-5,1.0e-5,0.0001,50,24,0.1,2968153616,1238978490,2408176171,1172820277,5.0e-8
215,1.0,0.01,0.25,28132,1.0e-5,1.0e-5,0.0001,50,48,0.1,2656607807,2925119295,3410665740,3002080198,0.05
100,1.0,0.01,0.25,45204,1.0e-5,1.0e-5,0.0001,50,40,0.1,850671084,192384871,1437436869,1499853798,0.05
215,1.0,0.01,0.25,27698,1.0e-5,1.0e-5,0.0001,50,15,0.1,2647143770,1525850122,1005699144,1912409175,0.05
1000,1.0,0.01,0.25,14400,1.0e-5,1.0e-5,0.0001,50,30,0.1,3835753194,3775041225,3758452618,3429989745,0.5
464,1.0,0.01,0.25,21335,1.0e-5,1.0e-5,0.0001,50,11,0.1,2050626906,4286755583,3612111196,1465727747,0.5
215,1.0,0.01,0.25,62458,1.0e-5,1.0e-5,0.0001,50,24,0.1,2359334191,2070104453,2337530434,727783863,0.5
464,1.0,0.01,0.25,11772,1.0e-5,1.0e-5,0.0001,50,44,0.1,1121333846,2757906546,3763333204,3334831036,0.05
1000,1.0,0.01,0.25,2720,1.0e-5,1.0e-5,0.0001,50,47,0.1,764214764,3092377058,2010164041,313080477,0.05
215,1.0,0.01,0.25,46511,1.0e-5,1.0e-5,0.0001,50,44,0.1,239911407,3113036472,545495227,3691791213,0.5
1000,1.0,0.01,0.25,10099,1.0e-5,1.0e-5,0.0001,50,10,0.1,2485679092,3171874137,687739445,201703314,0.5
100,1.0,0.01,0.25,37341,1.0e-5,1.0e-5,0.0001,50,10,0.1,2097412572,4043389808,3039212219,1021198091,5.0e-8
464,1.0,0.01,0.25,12897,1.0e-5,1.0e-5,0.0001,50,38,0.1,1964213536,926007415,2250217626,93159777,0.05
215,1.0,0.01,0.25,56623,1.0e-5,1.0e-5,0.0001,50,39,0.1,12119975,1834999607,3843019562,3285382814,0.5
215,1.0,0.01,0.25,29763,1.0e-5,1.0e-5,0.0001,50,23,0.1,1164036187,717491915,1606342145,966808456,0.05
1000,1.0,0.01,0.25,10391,1.0e-5,1.0e-5,0.0001,50,15,0.1,637795024,2496337980,3875646797,3013043107,0.05
